Tibetan Description
རྣམ་པར་སྣང་མཛད་	 Vairochana
ཡང་ཏིག་རྒྱལ་པོའི་རྒྱུད་	Quintessence King Tantra
དངོས་གྲུབ་བུམ་པ་འོད་ཟེར་ཅན་	Radiant Vase of Accomplishments Tantra
གླང་པོ་ཆེ་རབ་འབོག་གི་རྒྱུད་	Rampant Elephant Tantra 
རྟོགས་པ་ 	realize, realization, realized
གནས་རིས་ 	realm
ཁམས་	realm
རྒྱུ་མཚན་	reason
གཤིན་རྗེའི་གཤེད་དམར་པོ་ 	Red Yamantaka  
རྡོ་ལ་གསེར་ཞུན་	Refining Gold in the Rock
ཀུན་རྫོབ་	relative
བསྐྱར་ 	repeat
བླན་ཏེ་འཇོག་པ་	replacement
ངལ་གསོ	rest
མཉམ་པར་བཞག་པ་	rested in equanimity
སེམས་ཉིད་ངལ་གསོ་	Resting in the Natural State of the Mind
བསམ་གཏན་ངལ་གསོ་	Resting Through Meditation
འབྲས་བུ་ 	result
འབྲས་བུ་གསང་སྔགས་ཀྱི་ཐེག་པ་ 	Resultant Tantric Vehicle
འབྲས་བུ་སྔགས་ཀྱི་ཐེག་པ་	Resultant Tantric Vehicle
རྩིབས་མ་ 	ribs
ཡང་དག་པར་	right | very pure
ཡང་དག་པའི་ངང་	right state
ཆོ་ག་	ritual
ཆོ་ག་སྔགས་ཀྱི་རྒྱུད་	Ritual Tantra of Secret Mantra 
རྩ་གཞུང་	root text
རྒྱལ་པོའི་ཁང་བཟངས་དམ་པ་ 	royal pure abode of the gods
གཟུགས་སྐུ་	rupakaya
ས་ལུ་	Salu rice
ཀུན་ཏུ་བཟང་པོ་	Samantabhadra
དམ་ཚིག་མངོན་པར་འབྱུང་བ་	Samaya of Perfect Renunciation Tantra  
འཁོར་འདས་	samsara and nirvana
ས་མུཙྪ་རྟོག་པ་བསྡུས་པའི་རྒྱུད་	Samutsatsa Compendium of Conception Tantra 
འཁོར་བ་དོང་སྤྲུག་རིན་པོ་ཆེ་གསང་བའི་རྒྱུད་	Savior From the Depth of Samsara Precious Secret Tantra
གནས་བརྟན་པ་	school of the Elders
སྡེ་པ་ 	school, level, section
སྤྱོ་བ་ 	scolding
གདན་	seat | mat
བྱེ་བྲག་གི་སྒྲུབ་པ་ཟླ་གསང་ནག་པོའི་རྒྱུད་	Secret Black Moon Tantra of Particular Accomplishment 
གསང་སྙིང་	Secret Essence Tantra  
ལྷ་མོ་གསང་བའི་རྒྱུད་	Secret Female Deities Tantra  
རྡོ་རྗེ་གསང་བའི་རྒྱུད་	Secret Vajra Tantra 
གསང་ཚིག་	secret words
དུམ་བུ་	section
སྐྱེས་པ་རབས་ཀྱི་སྡེ་	sections of Jataka Tales
བདག་ 	self | I | me
བདག་བསྐྱེད་	self generation
དཔལ་རང་བྱུང་	self-arisen magnificence 
རང་བྱུང་	self-arising | self-originating
རང་རྒྱལ་	self-made conqueror
སེམས་ཅན་ 	sentient beings
འཇོག་སྒོམ་	settling cultivation
རྟོག་པ་བདུན་ཅུ་པའི་རྒྱུད་	Seventy Concepts Tantra 
སྤྲུག་	shake up
ལོངས་སྤྱོད་རྫོགས་པའི་སྐུ་	Shambogakaya
རྣོན་པོ་	sharp
སྤོས་	shift
དཔུང་པ་	shoulder
སོག་པ་	shoulder blade 
ཕྲག་ 	shoulder joint
ཉན་ཐོས་པ་ 	Shravaka
མཚུངས་པ་	similar
ཉག་གཅིག་	single
ཉག་གཅིག་དགོངས་པའི་རྒྱུད་	Single Mind Tantra  
རིགས་དྲུག་	six classes (of beings)
ཆེ་ཆུང་	size
མཁས་པ་ 	skilled | expert | learned
ནམ་མཁའ་མཛོད་ཀྱི་རྒྱུད་	Sky Treasury Tantra  
མཁའ་འགྲོ་བདེ་བའི་རྒྱུད་	Sky-faring Queen of Ease Tantra  
ནམ་མཁའ་ 	sky, space itself
རྐང་མཐིལ་ 	sole of the foot
རང་རྒྱལ་གྱི་ཐེག་པ་	Solitary Realizer Vehicle
བུ་ལྟ་བུའི་གོ་ཆ་	Son like Armour
སིལ་སྙན་གྱི་སྒྲ་	sound of cymbals
འབྱུང་གནས་	source | origin
རིན་ཆེན་འབྱུང་གནས་	source of preciousness
ཀློང་	space
ཆོས་ཉིད་ཀྱི་ཀློང་	space of Dharmata
ཀློང་སྡེ་	space section
མཁའ་དབྱིངས་	space-expanse
ལྷག་པར་མཐོང་བ་	special insight
ལྷག་མཐོང་	special insight
ལྷག་མ་མེད་པའི་དབྱིངས་	sphere without remainders
ཞིང་ 	sphere, dimention
བཤེས་གཉེན་	spiritual friend
སྨྲས་པ་	spoke
སེམས་ཉིད་ཐེག་པ་ཀུན་གྱི་སྤྱི་ཆིངས་	Spontaneously Present Universal Ground
ཟ་བྱེད་རོལ་པ་སྦྱིན་སྲེག་གི་རྒྱུད་	Sporting Devourer Fire Offering Tantra  
དར་བ་	spread | flourish
ཏིང་ངེ་འཛིན་	stabilized concenration
རིམ་པ་ 	stage
སོ་སོ་སྐྱེ་བོའི་ས་	stage of ordinary being
ལམ་རིམ་	Stages of Path
དྲི་མ་	stain 
དྲི་མ་མེད་པ་	stainless
རྡོ་རྗེ་དྲི་མ་མེད་པའི་རྒྱུད་	Stainless Vajra Tantra  
ངང་	state
ཙོག་པུར་འདུག་	stay sitting upright 
བཞུགས་ 	stay, dwell, sit
བརྟན་པ་	steady
བརྐྱང་བསྐུམ་	stretch out and draw in
ཡུལ་ཅན་	subject
མངོན་སྤྱོད་ 	subjugation
སྐྱེས་བུ་དམ་པ་	sublime being | holy being
རྗེས་སུ་རྣལ་འབྱོར་གྱི་ཐེག་པ་	Subsequent Yoga Vehicle
ཕྲ་མོ་	Subtle
དེ་ཁོ་ན་ཉིད་	suchness | that exclusively
སྡུག་བསྔལ་	sufferings
བརྒྱད་སྟོང་དོན་བསྡུས་	Summary of the Meaning of Prajnaparamita in Eight Thousand Verses
ལྷུན་གྲུབ་སྤྱི་ཆིངས་	Summit Tantra of Letterless Great Space  
དོན་དམ་པ་	superfactual
སྒྲོ་འདོགས་པ་ 	superimposition
གསོལ་འདེབས་	supplication
རིག་པ་མཆོག་	Supreme Awareness Tantra 
མཆོག་གི་སྤྲུལ་སྐུ་	supreme nirmanakaya
པདྨ་གསུང་གི་རྒྱུད་རྟ་མཆོག་རོལ་པའི་རྒྱུད་	Supreme Steed Display, Hayagriva Tantra 
མདོ་	sutra
ཡི་གེ་རྣམ་དག་གི་མདོ་	Sutra of Completely Pure Letters
ཀུན་འདུས་རིག་པའི་མདོ་	Sutra of the Compendium of Knowledge 
དགོངས་པ་འདུས་པའི་མདོ་	Sutra of the Compendium of the Hidden Meaning  
རྒྱན་སྟུག་པོ་བཀོད་པའི་མདོ་	Sutra of the Densely Arrayed Adornments 
མདོའི་ཐེག་པ་	Sutra Vehicle
ངོ་བོ་ཉིད་སྐུ་	svabhavikakaya
འདུལ་བྱེད་	tamer
ཨ་མོ་གྷ་པཱ་ཤའི་རྒྱུད་	Tantra of Amoghapasa
ཀརྨ་མཱ་ལེ་འཕྲིན་ལས་ཀྱི་རྒྱུད་	Tantra of Enlightened Activity, the Karma Ma Ley
སུ་སིདྡྷི་ཀ་ར་ / ལེགས་པར་གྲུབ་པ	Tantra of Excellent Accomplishment
ཡོན་ཏན་གྱི་རྒྱུད་རིན་ཆེན་སྒྱུ་འཕྲུལ་དྲ་བ་	Tantra of Good Qualities, Precious Emanated Net 
མངོན་པར་བྱང་ཆུབ་པའི་རྒྱུད་	Tantra of Manifest Enlightenment 
སྒོ་མང་མདོའི་རྒྱུད་	Tantra of Many Sutra Methods  
སྟོབས་པོ་ཆེ་ཡོངས་སུ་སྒྲོལ་བའི་རྒྱུད་	Tantra of Powerful Liberation  
གསུང་གི་རྒྱུད་པདྨ་སྒྱུ་འཕྲུལ་དྲ་བ་	Tantra of Speech, Lotus Emanation Net  
འབྱུང་པོ་འདུལ་བྱེད་ཀྱི་རྒྱུད་	Tantra of Taming the Elemental Spirits
དཔའ་འབར་ཁྲོ་མོའི་རྒྱུད་	Tantra of the Brave Blazing of Female Terrific Deity 
ཐིག་ལེ་ཀློང་གི་རྒྱུད་	Tantra of the Essence Sphere 
སེང་གེ་རྩལ་རྫོགས་ཆེན་པོའི་རྒྱུད་	Tantra of the Fully Trained Lion
མེ་ཀློང་འབར་བའི་རྒྱུད་	Tantra of the Immense Fire Burning  
ཁམས་གསུམ་སྒྲོན་མའི་རྒྱུད་	Tantra of the Lamp of Three Realms  
བྱང་ཆུབ་སེམས་ཀྱི་ཐིག་ལེའི་རྒྱུད་	Tantra of the Sphere of Enlightment Mind  
གཤིན་རྗེའི་གཤེད་ནག་པོ་ཞལ་གསུམ་པའི་རྒྱུད་	Tantra of Three-Face Black Yamantaka  
ངན་སོང་སྦྱོང་བ་དཀྱིལ་འཁོར་བཅུ་གཉིས་ཀྱི་རྒྱུད་	Tantra of Twelve Mandalas Purifying the Lower Realms  
ཐེག་པ་རྒྱུད་	Tantric Vehicle
སྒྲོལ་མ་	Tara  
སྒྲོལ་མ་	Tara Tantra
སྟོན་པ་	teach, demonstrate, teacher, Buddha
སྟོན་	teach, to show, demonstrate, reveal
གཙུག་ལག་ཁང	temple 
གུར་	tent | dome
འཇིགས་བྱེད་	terrifier
བཤད་བྱ་གཞུང་གི་དོན་དངོས་	the actual text to be explained
ཀུན་བྱེད་	the All-Creating King Tantra 
དགོངས་པ་ཀུན་དུ་གྲགས་པའི་རྒྱུད་	the All-renowned Intention Tantra
རྒྱབ་	the back
རིན་པོ་ཆེ་འབར་བའི་རྒྱུད་	the Blazing of Jewels Tantra 
བྱིན་གྱིས་བརླབ་པའི་རྒྱུད་ངན་སོང་སྦྱོང་བ་	the Blessing Tantra Purifying the Lower Realms  
རྒྱུ་མཚན་ཉིད་ཀྱི་ཐེག་པ 	the Causal Vehicle of Characteristics
ནམ་མཁའ་མཐའ་དབུས་ཀྱི་རྒྱུད་	the Center of Infinite Space Tantra
ཚད་མ་ཀུན་ལས་བཏུས་	the Compendium of Valid Cognition
ལེགས་པར་གྲུབ་པ་	the Complete Fulfillment of All Deeds Tantra
མཁའ་དབྱིངས་རྣམ་དག་གི་རྒྱུད་	the Completely Pure Space-Expanse Tantra 
རིག་པའི་ཁུ་བྱུག་གི་རྒྱུད་	the Cuckoo of Awareness Tantra
ལངྐར་གཤེགས་པའི་མདོ་	the Descent to Lanka Sutra 
རྔམ་བྱེད་མེ་ལྟར་འབར་བའི་རྒྱུད་	The Desire Which Caught the Fire Like a Flame Tantra 
གླང་པོ་རོལ་པའི་རྒྱུད་	the Elephant Emanation Tantra 
གསང་འདུས་	the Embodied Secret
འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག་	the equilibrium of non-cognition
མན་ངག་སྙིང་པོའི་རྒྱུད་	the Essential Foremost Instruction Tantra 
བཤད་རྒྱུད་ཆོ་ག་འདུས་པ་	the Explanatory Tantra of Collection of Rituals 
བཤད་རྒྱུད་མི་འཁྲུགས་པའི་གཟུངས་	The Explanatory Tantra, Dharani of Akshobhyah
སམྦུ་ཊི་	the Exposition Tantra of the Two Discernments
ཡན་ལག་གི་རླུང་ལྔ་	the five ancillary loong
གཟུངས་ཆེན་གྲྭ་ལྔ་	the five great dharani 
ཡུལ་ངེས་བྱེད་ལྔ་	the five object-determining 
དབང་པོ་ལྔ་	the five sense faculties
ཆོས་སྤྱོད་ཐམས་ཅད་ཀྱི་མན་ངག་མངོན་པར་རྟོགས་པའི་རྒྱུད་	the Foremost Instructions on All Dharma Activities, the Tantra of Manifest Realization 
བློ་ལྡོག་རྣམ་བཞི་	the Four Mind Reversers
དཔལ་མཆོག་བསྡུས་པ་དེ་ཁོ་ན་ཉིད་ཀྱི་རྒྱུད་	the Gathering of the Great Glory, Tantra of Absolute Suchness 
ཨ་ཏི་བཀོད་པ་ཆེན་པོའི་རྒྱུད་	the Great Ati Display Tantra
བདེ་ཆེན་སྒེག་པ་མཱ་མ་ཀཱིའི་རྒྱུད་	the Great Bliss of Mesmerising Mamaki Tantra  
ཨ་ཏི་བཀོད་པ་ཆེན་པོ་ཡོངས་སུ་རྫོགས་པའི་རྒྱུད་	the Great Display of Perfection Tantra
དགའ་ཆེན་ཟ་ནུས་ཀྱི་རྒྱུད་	the Great Joy of the Ability to Eat Tantra  
བསམ་གཏན་ཆེན་པོའི་རྒྱུད་	the Great Meditation Tantra 
བཀོད་པ་ཆེན་པོ་ཡིད་བཞིན་མཆོག་གི་རྒྱུད་	the Great Presentation of the Excellent Wish-Fulfilling Tantra
ནམ་མཁའ་ཆེ་རྩ་བ་ཅན་གྱི་རྒྱུད་	the Great Root Space Tantra 
ནམ་མཁའ་ཆེ་དབང་གི་རྒྱུད་	The Great Space Empowerment Tantra  
ནམ་མཁའ་ཆེ་གཞིའི་རྒྱུད་	The Great Space Ground Tantra  
ནམ་མཁའ་ཆེ་རྩ་བའི་རྒྱུད་	the Great Space Root Tantra 
ནམ་མཁའ་ཆེ་ཕྱི་མའི་རྒྱུད་	The Great Space Subsequent Tantra
ནམ་མཁའ་ཆེ་ཕྱི་མའི་རྒྱུད་ཡོངས་སུ་སྒྲོལ་བ་	The Great Space Subsequent Tantra of Total Freedom 
ནམ་མཁའ་ཆེ་ཡི་གེ་མེད་པའི་རྒྱུད་	The Great Space Tantra Without Letters
ཐིག་ལེ་ཆེན་པོ་	the Great Sphere  
ཐེག་པ་ཆེན་པོའི་རྒྱུད་བླ་མའི་བསྟན་བཅོས་	The Great Vehicle Treatise on the Highest Continuum
བཏགས་པར་སྨྲ་བའི་སྡེ་	the group advocating examination 
བསྲུང་བ་པའི་སྡེ་	the group of protectors
ཤར་གྱི་རི་བོའི་སྡེ་	the group of the Eastern Mountain
ས་སྒྲོགས་རིགས་ཀྱི་སྡེ་	the group of the Lineage Dwelling in the White Lily Mountain
གངས་རིར་གནས་པའི་སྡེ་	the group of the Sangha Dwelling in the Snow Mountain
གནས་མ་བུའི་སྡེ་	the group of the Sons of the Residents
འཇིག་རྟེན་ལས་འདས་པར་སྨྲ་བའི་སྡེ་	the group of the Supramundane Speech
ནུབ་ཀྱི་རི་བོའི་སྡེ་	the group of the Western Mountain
རྒྱལ་བྱེད་ཚལ་ན་གནས་པའི་སྡེ་	the group who dwell in Jetavana Grove
གཙུག་ལག་ཁང་ན་གནས་པའི་སྡེ་	the group who dwelled in a great vihara
འཇིགས་མེད་རི་ལ་གནས་པའི་སྡེ་	the group who dwelled on Fearless Mountain
རྒྱུད་བླ་མ་	The Highest Continuum
ནང་པ་ཐབས་ཀྱི་རྒྱུད་ | རྣལ་འབྱོར་ནང་པ་ཐབས་ཀྱི་རྒྱུད་ཀྱི་ཐེག་པ་	the Inner Yoga Vehicle, the Tantra of Method
བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ་	the Lamp of Path to Enlightenment 
ཚུལ་གསུམ་སྒྲོན་མའི་རྒྱུད་	the Lamp on the Three Modes Tantra
པདྨ་རྩེ་མོ་	The Lotus Peak Tantra
ཐུགས་ཀྱི་རྒྱུད་རྡོ་རྗེ་སེམས་དཔའ་སྒྱུ་འཕྲུལ་དྲ་བ་	The Mind Tantra, Emanated Net of Vajrasattva 
ཁམས་བདེ་བར་གཤེགས་པའི་སྙིང་པོ་ 	the nature of Sugata-essence
དགོས་པ་ 	the need
འཕགས་པ་ཏིང་ངེ་འཛིན་རྒྱལ་པོའི་རྒྱུད་	the Noble King of Absorption Tantra 
དཔུང་བ་བཟང་པོ་	the Noble Shoulder Tantra
རྒྱ་མཚོ་བདེ་བའི་རྒྱུད་	the Ocean of Ease Tantra  
མདོ་སྡེའི་རྒྱན་	the Ornament for the Sutra Section
མངོན་པར་རྟོགས་པའི་རྒྱན་	the Ornament of Manifest Realization
སྒྲ་ཐལ་འགྱུར་རྩ་བའི་རྒྱུད་	the Penetration of Sound Root Tantra
སྨིན་མཚམས་	the point between eyebrows
ལུས་གནད་	the points of the body
ངལ་གསོ་སྐོར་གསུམ་ 	the Resting Up Trilogy
ལྡོག་པ་	the reverse
མང་པོས་བཀུར་བ་	The School of (the ones who follow) Greatly Respected
ཟླ་གསང་ནག་པོའི་རྒྱུད་	The Secret Black Moon Tantra
སྙིང་པོ་གསང་བའི་རྒྱུད་	the Secret Essence Tantra  
གསང་བའི་སྤྱི་རྒྱུད་	the Secret General Tantra
གསང་བ་རྒྱལ་པོའི་རྒྱུད་	the Secret King Tantra
ཟླ་གསང་ཐིག་ལེའི་རྒྱུད་	The Secret Moon Drop Tantra  
གསང་བའི་དེ་ཉིད་	the Secret Thusness Tantra
གསང་བ་ཡིད་བཞིན་བདེ་བའི་རྒྱུད་	the Secret Wish-Fulfilling Ease Tantra  
འཇིགས་བྱེད་རྟོག་པ་བདུན་པ་ཞལ་དགུ་པའི་རྒྱུད་	The Seven Thoughts of Yamantaka __ 
ཚད་མ་སྡེ་བདུན་	the Seven Treatises on Valid Cognition
མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་ཆུང་དོན་གསལ་	the small commentary on Clear Meaning of the Ornament of Manifest Realization 
མངོན་རྟོགས་རྒྱན་གྱི་འགྲེལ་ཆུང་	the small commentary on the Ornament of Manifest Realization 
མ་མོ་རྦོད་གཏོང་	the sorcerers | the mamo
མ་མོ་རྦོད་གཏོང་གི་རྒྱུད་མ་མོ་ཀུན་འདུས་	The Sorcerers, the Mamo Tantra, the Compendium of Mamos
དོ་ཧ་	the spontaneous spiritual song 
སྡོང་པོ་བཀོད་པ་	the Sutra Arranged Like a Tree
བདེན་གཉིས་	the Sutra of Two Truths
ཀརྨ་ཤ་ཏཾ་བམ་པོ་དགུ་	the Sutra on the One Hundred Karmas
བདག་དམ་ཚིག་པ་	the symbolic being
ཞི་བ་ལྷའི་རྒྱུད་	the Tantra of the Peaceful Deities
རུང་བ་མ་ཡིན་པའི་གཞི་བཅུ་ 	the ten grounds that were not acceptable
ཁྲོ་བོ་བཅུའི་རྒྱུད་	the Ten Wrathful Ones Tantra  
རྣམ་པར་ཞི་བར་བྱེད་པ་	the thorough pacification of | to pacify thoroughly
སྡེ་སྣོད་གསུམ་	the Three Baskets
སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད་	the Treasury of the Nonarising Jewel 
ཚོགས་གཉིས་	the two accumulations
འབྱེད་གཉིས་	the two differentiations
མཐའ་གཉིས་	the two extremes
མི་ནུབ་རྒྱལ་མཚན་	the Unflafgging Victory Banner 
གསང་སྔགས་རྡོ་རྗེའི་ཐེག་པ་ 	the Vajra Vehicle of the Secret Tantra
རྒྱ་ཆེར་རོལ་པའི་མདོ་	the Vast Play Sutra
འཕགས་པ་ཡོན་ཏན་རིན་པོ་ཆེ་ཡང་དག་པར་སྡུད་པའི་མདོ་	the Verses on the Perfection of Wisdom which is a Storehouse of Precious Virtues
ལྟ་བ་མཐའ་གཉིས་ 	the view of the two extremes
སངས་རྒྱས་ཀྱི་བྱོན་ཚུལ་	the way Buddha appeared
བཀའི་བསྡུས་ཚུལ་	the way of collecting the teachings
བསྟན་བཅོས་ཀྱི་མཛད་ཚུལ་ 	the way of composing the treatise
ཡེ་ཤེས་ཐིག་ལེ་	the Wisdom of Bindhu Tantra
མི་སྐྱེ་བ་ཤེས་པའི་ཡེ་ཤེས་	the wisdom of cognizing nonarising
ཟད་པ་ཤེས་པའི་ཡེ་ཤེས་	the wisdom of cognizing the exhaustion
ཇེ་སྦོམ་	thicker
བརླ་	thigh
སྲེད་པ་	thirsting after / clinging
ཐོད་ཕྲེང་རྩལ་	Tho Threng Tsal, Scull Garland Ability
རྣམ་འགྲེལ་	Thorough Commentary to Valid Cognition
རྣམ་བཤད་	thorough explanation
རྟོག་པ་	thought | concept
སུམ་བརྒྱ་པ་	Three Hundred Stanzas on the Novitiate
དཀོན་མཆོག་གསུམ་	Three Jewels / Triple Gem
སྡེ་གསུམ་	Three Sections
སྒོམ་རིམ་གསུམ་པ་	Three Stages of Meditation
རྡོ་རྗེ་སེམས་དཔའི་རྒྱུད་གསུམ་	Three Tantras of Vajrasattva 
ཆོ་འཕྲུལ་གསུམ་	three types of marvelous emanations
དེ་བཞིན་ཉིད་	thusness
དེ་བཞིན་ཉིད་ཀྱི་ཏིང་ངེ་འཛིན་	thusness single-pointed concentration
མུ་སྟེགས་	Tirthikas
བརྒྱན་པ་	to adorn | to ornament
གདུང་བ་	to be suffering
མངོན་པ་ 	to become evident 
མཛད་	to compose | deed
དམིགས་པ 	to consider, to conceive, to observe
གཅོད་པ་	to cut
འཇིག་པ་	to destroy
འབྱེད་པ་	to differentiate
འཇུག་པ་	to engage in | to enter into
བརྗོད་པ་	to express
འཛིན་པ་	to grasp | to hold
གོམས་པ་	to habituate to
གནང་བ་ཐོབ་པ་	to obtain permission
བསྲུང་བ་	to protect
སྦྱོང་བ་	to purify 
ཀློག་པ་	to read
བཀུར་བ་	to respect
ཐུགས་སུ་ཆུད་	to retain in mind
རྒྱས་འདེབས་	to seal
བཅའ་བ་	to set
སེམས་པ་	to think
ཡིད་ཆེས་པ	to trust in
སྦྱོར་བྱེད་	to unite
པུས་མགོ་ 	top of the knees
གཏོར་མ་	Torma
གཏོར་མའི་རྒྱུད་	Torma Tantra 
ཀུན་ཏུ་སྣང་བའི་ཏིང་ངེ་འཛིན་	total appearance single-pointed concentration
ཞི་གནས་	tranquility of the mind | calm abiding
འཕོ་བ་ 	transference 
གཏེར་	treasure
མཛོད་	treasury
བསྟན་བཅོས་	treatise
སྒྲའི་བསྟན་བཅོས་ཙནྡྲ་པ་	Treatise on Grammar
སྐུ་གསུམ་	trikaya
སྐོར་གསུམ་	trilogy 
མྱ་ངན་ 	trouble
དོན་བདེན་པ་ 	true meaning
དེ་ཉིད་འདུས་པ་	True Nature Assemblage Tantra 
ཡང་དག་རྒྱུ་བའི་རླུང་ 	truly moving loong
བདེན་པ་ 	truth
ཆོས་ཉིད་ཀྱི་བདེན་པ་	truth of Dharmata
སྦྱངས་པའི་ཡོན་ཏན་ 	twelve ascetic virtues
མཛད་པ་བཅུ་གཉིས་	twelve deeds of Buddha
གཅུ་བ་	twist
སྡོམ་རྣམ་པ་གཉིས་	two Compendia
ཐུགས་གཉིས་	Two mind / Dualistic mind
རྒྱན་གཉིས་	Two Ornaments
མཐར་ཐུག་	ultimate
ཕྲུ་མ་	umbilical cord
གདུགས་	umbrella
དཔག་མེད་	unfathomable
འོད་དཔག་མེད་	unfathomable light
སྦྱོར་	union/unification/connect/join
རབ་འབྱམས་	universal
རྣལ་འབྱོར་བླ་མེད་	Unsurpassed Yoga
སྤྱོད་པ་རྒྱུད་	Upaya Tantra
ཨུ་པ་	Upaya Tantra
སྟོད་སྨད་ 	upper and lower
གྱེན་རྒྱུའི་རླུང་	upward-moving loong
གཅི་	urine
མཛོད་སྤུ་	urna hair
མཛོད་སྤུ་ནོར་བུ་	Urna HairJewel 
ཨ་ཏི་	Utmost Yoga Tantra
ཤིན་ཏུ་རྣལ་འབྱོར་གྱི་ཐེག་པ་	Utmost Yoga Vehicle
རབ་ཏུ་རྒྱུ་བའི་རླུང་	utterly moving loong
རྣམ་པར་སྣང་མཛད་མངོན་པར་བྱང་ཆུབ་པའི་རྒྱུད་	Vairocana Tantra of Manifest Enlightenment  
རྣམ་སྣང་མངོན་བྱང་	Vairochana Manifest Enlightenment
རྡོ་རྗེ་གཙུག་ཏོར་གྱི་རྒྱུད་	Vajra Crown Protuberance Tantra 
རྡོ་རྗེ་གུར་	Vajra Dome 
རྡོ་རྗེ་སྙོམས་འཇུག་གསང་བའི་རྒྱུད་	Vajra Equilibrium Secret Tantra  
རྡོ་རྗེ་ཕྲེང་བ་	Vajra Garland 
རྡོ་རྗེ་འཕྲེང་བ་	Vajra Garland Tantra
རྡོ་རྗེ་རྩེ་མོ་	Vajra Peak Tantra
རྡོ་རྗེ་བེ་ཅོན་གྱི་རྒྱུད་	Vajra Pestle Tantra  
རྡོ་རྗེ་མངོན་པར་འབྱུང་བའི་རྒྱུད་	Vajra Renunciation Tantra
རྡོ་རྗེ་རྒྱས་འདེབས་ཀྱི་རྒྱུད་	Vajra Seal Tantra
རྡོ་རྗེ་རྣོན་པོ་	vajra sharp
རྡོ་རྗེ་རྣོན་པོའི་རྒྱུད་	Vajra Sharp Tantra 
རྡོ་རྗེ་ས་འོག་གི་རྒྱུད་	Vajra Under Earth Tantra  
རྡོ་རྗེ་མཁའ་འགྲོ་	vajradakini
རྡོ་རྗེ་མཁའ་འགྲོ་རྒྱ་མཚོ་	Vajradakini Ocean Tantra  
ཕུར་པ་འཕྲིན་ལས་ཀྱི་རྒྱུད་བི་ཏོ་ཏ་མ་ལ་འབུམ་སྡེ་	Vajrakilaya Activity Tantra, 100000 Bitotamalas  
ཕྱག་ན་རྡོ་རྗེ་དབང་གི་རྒྱུད་	Vajrapani Empowerment Tantra 
ཕྱག་ན་རྡོ་རྗེ་དབང་བསྐུར་བའི་རྒྱུད་	Vajrapani Empowerment Tantra 
རྡོ་རྗེ་སེམས་དཔའ་	Vajrasattva
རྡོ་རྗེ་ཕག་མོ་	Vajravarahi
ཕག་མོ་མངོན་འབྱུང་གི་རྒྱུད་	Vajravarahi Manifestation Tantra  
ཚད་མ་	valid cognition
ཕག་མོ་	varahi
བུམ་པ་	vase | pot
རྒྱ་ཆེར་འགྲེལ་	vast commentary
རྒྱ་ཆེར་བཤད་པ་ 	vast explanation
ཐེག་	vehichle
ཐེག་པ་	vehicle
མཚན་ཉིད་ཀྱི་ཐེག་པ་ 	Vehicle of Characteristics
རྗེ་བཙུན་	venerable
རྒྱལ་མཚན་	victory banner
རིག་འཛིན་འདུས་པ་	Vidyadhara Assemblage Tantra  
ལྟ་བ་	view
ཡང་དག་ཐུགས་ཀྱི་རྒྱུད་ཧེ་རུ་ཀའི་གལ་པོ་	Vishudha Mind, Heruka Galpo Tantra  
དྲོད་	warmth 
ཆུ་ 	water, severe flood
ཚུལ་	way | mode
ཉན་པའི་ཚུལ་ 	way of listening
ནུབ་	western
འཁོར་ལོ་	wheel
སྲོག་གི་འཁོར་ལོ་	Wheel of Life Tantra
ཀློག་པའི་འཁོར་ལོ་	Wheel of Reading
འཁོར་ 	wheel, retinue, followers
གདུགས་དཀར་པོ་ཅན་	White Umbrella 
རྒོད་གཤོག་ 	wings of a vulture
ཤེས་རབ་ 	wisdom
ཡེ་ཤེས་སེམས་དཔའ་	wisdom being
ཡེ་ཤེས་ཐིག་ལེའི་རྒྱུད་	Wisdom Essence Tantra  
ཟད་པ་ཤེས་པ་	wisdom of exhaustion
ཡིད་བཞིན་	wish-fulfilling
བསྟོད་པ་གླུར་བླངས་ཀྱི་ལེའུ་	Wish-fulfilling Excellent Tantra Arya Manjushri’s Nama Sangiti song of praise
ཡིད་བཞིན་ནོར་བུའི་རྒྱུད་	Wish-fulfilling Jewel Tantra
རེ་བ་	wish, expectation, hope
ཟག་མེད་	without outflows
འཇིག་རྟེན་པ་	Wordly person
རྩེ་གཅིག་ཏུ་བྱེད་པ་	working on one-pointedness
འཇིག་རྟེན་ 	world
ཁྲོ་བོ་	wrathful | wrathful one
གཤིན་རྗེའི་གཤེད་	Yamantaka
རྣལ་འབྱོར་	yoga
སྦྱོར་བ་	yoga
རྣལ་འབྱོར་གྱི་རྒྱུད་	Yoga Tantra
རྣལ་འབྱོར་རྒྱུད་ཀྱི་ཐེག་པ་	Yoga Tantra Vehicle
འཁྲུལ་འཁོར་	Yogic exercise
