Tibetan	Description
ཨར་མོ་ནིག་ལྟ་བུའི་རྡོ་ལེབ་	Commonly listed as one of the features of the garden groves of the Heaven of the Thirty-Three, this term can be used to describe Indra’s throne itself or any number of divine stone platforms that resemble Indra’s throne.
ཨར་པུ་ཏ་	One of the twenty-four (the number may vary according to source) pīṭhas, or places of pilgrimage mentioned in the tantras.
ཨརྦུ་ད་	One of the four pīṭhas.
ཨརྫ་ཀ་	Ocimum gratissimum.
ཨརྫུ་ནཿ་	A lake on Equal Peaks.
ཨརྫུ་ན་	Terminalia arjuna.
བཱ་དཱུ་ཏཾ་	A town in Videha.
བཱ་གུ་ཙི་	Psoralea corylifolia , Psoralea plicata, Vernonia anthelmintica.
བཱ་ལ་	Sida cordifolia.
བཱ་མན་	The dwarf incarnation of Viṣṇu, who deceived the king of the asuras.
བཱ་རཱ་ཎ་སཱི་	City in North India where the Buddha first taught the Dharma.
བཱ་རཱ་ཎ་སཱི་	Capital of the ancient country of Kāśi, west of Magadha and north of Kośala.
བཱ་རཱ་ཎ་སཱི་	An ancient city in North India on the outskirts of which the Buddha first taught the Dharma.
བཱ་རཱ་ཎ་སཱི་	A holy city on the banks of the Gaṅgā in modern-day Uttar Pradesh. Nearby is Sarnath, the location of Śākyamuni’s first teaching.
བཱ་རཱ་ཎ་སཱི་	A city in North India, on the banks of the Gaṅgā, where the Buddha gave his first sermon; this name can be applied also to the surrounding country or district. It lies in modern day Uttar Pradesh, India. The name is rendered elsewhere in this translation as its older name, “Kāśī.”
བཱ་རཱ་ཎ་སཱི་	Also known as Benares, the oldest city of northeast India in the Gangetic plain. It was once the capital of its own small kingdom and was known by various names. It was an important religious center, as well as a major city in India, even during the time of the Buddha. The name may derive from being the place where the Varuna and Assi rivers flow into the Ganges.
བཱ་རཱ་ན་སཱི་	Also known as Benares, the oldest city of northeast India in the Gangetic plain. It was once the capital of its own small kingdom and was known by various names. It was an important religious center, as well as a major city in India, even during the time of the Buddha. The name may derive from being where the Varuna and Assi rivers flow into the Ganges.
བཱ་ར་ཎཱ་སི་	City in North India where the Buddha Śākyamuni first taught the Dharma.
བཱ་ས་བ་	An epithet of Indra.
བཱ་སའི་ཆུ་	A river in the south of Jambudvīpa.
བཱ་ཤ་ཀ་	Justicia adhatoda.
བཱ་ཤུ་པ་ཏི་	“Lord of beings in the bonds [of existence],” one of the epithets of Śiva.
བཱ་སུ་ཁ་མུ་ཁི་	“One with the Face of Vāsuki.” One of the eight nāga queens.
བཱ་སུ་ཀི་	(1) A virtuous nāga king ({nor rgyas kyi bu}). (2) A nāga who visits Saṅkāśa Mountain ({bA su ki}).
བཱ་ཡུ་	A yakṣa, a guardian of the northwest.
བཱི་དྱ་རཱ་ཛ་	This epithet can refer to individual mantras (vidyā) as well as deities—typically those attending upon Vajrapāṇi; most of the time the mantra and the deity are one and the same, but, in some contexts, the focus may be on either one or the other. If the focus is on the mantra or its corresponding deity, the term has been translated as king of vidyās, and if it is on the class of deities and is used in the plural, it has been translated as vidyārāja . Vidyārāja can also be a deity name.
བཱི་ཛ་པཱུ་ར་ཀ་	Citrus medica.
བཱི་ཏ་རཱ་ག་	A deity invoked in a mantra to cure blindness.
བ་ཌ་བ་མུ་ཁ་	“Mare-faced,” a yoginī; also found in the Śaiva Kaula tradition.
བ་ཊུ་ཀ་	This seems to be either another name for Caṇḍa mahā roṣaṇa, or an epithet referring to him, meaning “youth”.
བ་བྱུང་	Traditionally, five substances derived from a cow and used for ritual purposes: dung, urine, butter, yogurt, and milk.
བ་དཱ་ལཱི་	An epithet of Mārīcī.
བ་དན་མཆོག་གི་དཔུང་རྒྱན་མ་	One of the dhāraṇī goddesses present at the delivery of the MMK.
བ་དྲ་ལི་	Paederia foetida.
བ་ཛི་ར་	Father of the buddha Mahāprabha.
བ་གམ་	An acceptable form of shelter for a monk, as identified in the Four Supports section of the ordination ritual.
བ་གླང་གི་སྤོས་	A type of sandalwood that is reddish in color and has medicinal properties. It is said to have the finest fragrance of all sandalwood. In the Mahāvyutpatti it is translated as {sa mchog}, which means “supreme earth.” Later translations translate gośirṣa literally as “ox-head,” which is said to refer to the shape or name of the mountain where it grows. Appears to be red sandalwood, though that appears separately in the list of incenses.
བ་གླང་སྤྱོད་	The western continent of the human world according to traditional Indian cosmology, characterized as “rich in the resources of cattle.”
བ་ཧི་ལི་ཀོ་	A land to the north of Jambudvīpa.
བ་ཀུ་ལ་	A yakṣa lord.
བ་ཀུ་ལ་	Indian tree with a very fine flower.
བ་ཀུ་ལ་	The Mimusops elengi, also known as the bulletwood tree.
བ་ཀུ་ལ་	An arhat disciple of the Buddha and one of the sixteen elders.
བ་ཀུ་ལ་	Śrāvaka arhat; one of the sixteen sthavira arhats (see “elder”).
བ་ལཱ་	Sida cordifolia.
བ་ལཱི་	An asura king defeated by Vāmana.
བ་ལང་བདག་	Hearer present in the circle around Śākyamuni.
བ་ལང་བདག་	One of the śrāvakas attending the delivery of the MMK.
བ་ལང་བདག་	One of the disciples of the Buddha. One of the first ten to be ordained.
བ་ལང་བདག་	One of the first to join the Buddha’s order of monks. He followed his friend Yaśas into the Buddhist order.
བ་ལང་བདག་	Śrāvaka arhat; one of the Buddha’s five close arhat disciples. He took ordination from the Buddha and then became a disciple of Śāriputra.
བ་ལང་བདག་	One of the group of five friends who were the second group to become students of the Buddha, and he was one of the ten students of the Buddha who were the first to become arhats.
བ་ལང་ཅན་	A river in Jambudvīpa.
བ་ལང་གི་འོད་ཀྱི་ཕྲེང་བ་ཅན་	A nāga king. (Note that this translation is partly tentative, as the Tibetan {ba lang}, which ordinarily means “cow,” “bull,” or “elephant,” has not been rendered into English, as its meaning here is unclear.)
བ་ལང་གི་བདག་པོ་	A great bodhisattva.
བ་ལང་གི་སྤོས་ཀྱི་ཙན་དན་	A particular kind of sandalwood, known as “ox-head,” that grows in southern India. It is reddish in color and has medicinal properties. It is said to have the finest fragrance of all sandalwood. The Sanskrit word go means “ox,” and śīrṣa means “head;” candana means “sandalwood.” The name of this sandalwood is said to derive from either the shape of or the name of a mountain upon which it grew. The Tibetan translated gośīrṣa as {ba lang gi spos} or “ox incense.”
བ་ལང་མགོ་	A nāga king.
བ་ལང་མོའི་བློ་གྲོས་	‟Excellent Mind,” the name of a female spirit summoned in a sādhana.
བ་ལང་རྙེད་	A south Indian king contemporary with Pulakeśin II.
བ་ལང་སྐྱོང་	A nāga.
བ་ལང་སྤྱོད་	A continent in the west.
བ་ལང་སྤྱོད་	The western continent in Buddhist cosmology.
བ་ལང་སྤྱོད་	In ancient Buddhist cosmology, the western of the four continents in the cardinal directions.
བ་ལང་སྤྱོད་	The continent to the west. One of the four main continents that surround the central mountain in classical Buddhist cosmology.
བ་ལང་སྤྱོད་	One of the four continents of the human world according to traditional Indian cosmology, it is situated to the west of Mount Sumeru.
བ་ལང་སྤྱོད་	The western continent of the human world according to traditional Indian cosmology, characterized as “rich in the resources of cattle.” It is named Aparāntaka (or sometimes Aparagodānīya or Aparagoyāna). It has a circular shape and is about 7,500 yojanas in circumference. Humans who live there are very tall, about 7.3 meters on average, and live for 500 years.
བ་ལང་སྲུང་དབང་	A south Indian king contemporary with Mahendra.
བ་ལ་	An ancient city located in the Saurashtra peninsula of Gujarat.
བ་ལྷི་ཀ་	The people of the Balkh region, or Bactrians.
བ་ལྷི་ཀ་	Appears in The Hundred Deeds as the name of a king and a people dwelling in the “barbaric outlying region” west of Jambudvīpa.
བ་མེན་	Bos gaurus, a massive wild ox, also called the Indian bison. The largest extant bovine.
བ་མེན་	Bos frontalis, a species of ox also known as gayal. Twenty-sixth of the eighty designs on the palms and soles of the Tathāgata.
བ་ནོ་ཅོ་	A temple on Mount Gośṛṅga.
བ་རཱ་ལི་	An epithet of Mārīcī.
བ་ར་དྭཱ་ཛ་	Foremost in terms of insight among the followers of the buddha Kāśyapa.
བ་ར་དྭ་ཛ་བསོད་སྙོམས་ལེན་	One of the eight great śrāvakas. See https://read.84000.co/translation/UT22084-088-038.html#UT22084-088-038-236 .
བ་ར་ན་སི་	An ancient city in North India on the outskirts of which the Buddha first taught the Dharma.
བ་ར་ནི་	The ancient capital of the Licchavi republican state. The Buddha visited this city several times during his lifetime. It is perhaps most famous as the location where, on different occasions, the Buddha cured a plague, admitted the first nuns into the Buddhist order, was offered a bowl of honey by monkeys, and announced his parinirvāṇa three months in advance.
བ་རི་ལོ་ཙཱ་བ་	Rinchen Drakpa ({rin chen grags pa}) 1040−1111 ce. He went to India at the age of fourteen and became a disciple of Vajrāsana. He later became the second head of the Sakya school.
བ་རི་ཡ་ཏྲ་	A country in the western part of the Vindhya range.
བ་རུ་ཎ་	In the CMT, he is the king of nāgas.
བ་རུ་ཎ་	Apart from the god of water, Varuṇa can be the name of several other figures, including a nāga king.
བ་རུ་ར་	Terminalia bellirica.
བ་ས་ན་ཏི་	A goddess in one of the maṇḍalas of Amoghapāśa.
བ་ཏ་ལ་	Bignonia suaveolens. The Indian species of bignonia. These small trees have trumpet-shaped flowers and are common throughout India.
བ་ཏ་ནི་	A country in the east, where the teachings on the perfection of wisdom will spread.
བ་ཚྭའི་ཆུ་བོའི་རླབས་	River in the hell known as Bursting Like Great Lotuses.
བ་ཡི་མཆོག་སྦྱིན་	One of the four auxiliary pīṭhas.
བ་ཡི་རྣམ་ལྔ་	Milk, yogurt, clarified butter, cow urine, and cow dung.
བའི་རྣམ་ལྔ་	Milk, curds, ghee, urine, and dung.
བའི་རྣམ་ལྔ་	Milk, yogurt, clarified butter, cow urine, and cow dung.
བའི་རྣམ་པ་ལྔ་	Milk, curds, butter, urine and dung.
བད་ཀན་ལས་གྱུར་པའི་ནད་	Third of the four kinds of disease.
བད་ཀན་ལས་གྱུར་པ་	A class of spirits causing excess phlegm.
བད་ཀན་རླུང་དང་མཁྲིས་པ་	The three humors or vital substances in the body which, according to Tibetan medicine, result in good health when balanced and illness or less than optimal health when imbalanced.
བད་ཀན་	One of the three vital substances in the body, along with wind and bile, which result in good health when balanced and illness or less than optimal health when imbalanced.
བད་ས་	One of the sixteen great kingdoms of ancient India.
བད་ས་	The name of a kingdom south of Kośala that was ruled by Udayin/Udayana during the Buddha’s time. Its capital was Kauśāmbī.
བད་ཙ་	A rishi of ancient India, said to be the author of the Nyaysūtrabhāśya and the famous Kāmasūtra.
བག་ཆགས་ཆུང་བ་	Birthplace of the buddha Nirjvara.
བག་ཆགས་དང་མཚམས་སྦྱོར་	The mundane process of rebirth within cyclic existence, impelled by the propensities of past actions.
བག་ཆགས་རྒལ་སྟབས་	The 898th buddha in the first list, 897th in the second list, and 888th in the third list.
བག་ཆགས་	Latent propensity to certain behaviors.
བག་ཆགས་	Subtle propensities created in the mind as a result of repeated experience.
བག་ཆགས་	These are imprints left by actions in consciousness, which condition its future character and disposition.
བག་ཆགས་	A tendency toward certain actions and thoughts as the result of a lasting impression on one’s being from previous lives.
བག་ཆགས་	Karmic traces or residues imprinted by past actions and constituting tendencies that predispose one to particular patterns of behavior.
བག་ཆགས་	The subconscious tendencies and predilections of the psychosomatic conglomerate. This most obvious word is seldom used in this context because of the hesitancy of scholars to employ “scientific” terminology.
བག་ཀ་ལི་	A monk.
བག་ཁ་ལ་	An ancient country, possibly in the Himalayan region.
བག་ལ་ཉལ་བ་	A latent propensity, proclivity, or disposition.
བག་ལ་ཉལ་བ་	This is equivalent to vāsanā, “instinctual predilection,” and refers in Buddhist psychology to the subconscious habit patterns that underlie emotional responses such as desire and hatred.
བག་ལ་ཉལ་བ་	The BHS anuśaya differs from its meaning in Sanskrit but is the same as the Pali anusaya. It can also mean “tendency” and “disposition,” and the meaning can be positive as well as negative.
བག་ལ་ཉལ་བ་	The first stage in the development and expression of afflictions (Skt. kleśa, Tib. {nyon mongs}), followed by “belief” (Skt. dṛṣṭi, Tib. {lta ba smra ba}) and “manifest affliction” (Skt. paryutthāna, Tib. {kun nas ldang ba}).
བག་ལ་ཉལ་	A latent propensity, proclivity, or disposition.
བག་ལ་ཉལ་	Habitual impulses or subconscious habit patterns that underlie emotions such as desire and hatred. These are also causes for the perpetuation of cyclic existence.
བག་མེད་པ་རྣམས་སྤྱོད་པ་	A forest in Endowed with Increasing Bliss.
བག་མེད་པའི་ཆུ་	A river in Garlands of Flowers.
བག་མེད་པ་	Disregard for virtuous qualities.
བག་མེད་པ་	Not being conscientious. In this text, carelessness is one of the three factors at odds with the true Dharma because it impedes generosity and thus destroys merit.
བག་མེད་རྣམས་རྩེ་བ་	A pond on Equal Peaks.
བག་མི་ཚ་བར་གནས་	Buddha in the presence of whom the buddha Kṣemapriya (927 according to the third enumeration) first gave rise to the mind of awakening.
བག་མི་ཚ་བ་	Foremost in terms of miraculous abilities among the followers of the buddha Amitadhara.
བག་ཉལ་	A latent propensity, proclivity, or disposition.
བག་ཚ་བ་མེད་པའི་ང་རོ་	Foremost in terms of insight among the followers of the buddha Mahābāhu.
བག་ཚ་བ་མེད་པར་གནས་པ་	A great bodhisattva.
བག་ཚ་བ་མེད་པས་རྣམ་པར་རྩེ་བའི་མངོན་པར་ཤེས་པ་ཐོབ་པ་	Foremost in terms of insight among the followers of the buddha Tiṣya.
བག་ཚ་བ་མེད་པ་	A great bodhisattva.
བག་ཚ་བ་མེད་པ་	Father of the buddha Sārthavāha.
བག་ཚ་བ་མི་མགའ་བ་	A buddha.
བག་ཡོད་གཟི་བརྗིད་	Son of the buddha Udadhi.
བག་ཡོད་པ་ལ་མངོན་པར་དགའ་བ་བཀྲ་ཤིས་	A god who taught Musulundha the Dharma.
བག་ཡོད་པ་	Heedful attention to virtuous qualities.
བག་ཡོད་པ་	A set of qualities of the bodhisattvas. These are explained in detail by the Buddha at https://read.84000.co/translation/UT22084-061-018.html#UT22084-061-018-115 .
བག་ཡོད་པ་	This denotes a type of awareness of the most seemingly insignificant aspects of practical life, an awareness derived as a consequence of the highest realization of the ultimate nature of reality. As it is stated in the Anavatapta nāga rāja paripṛcchā sūtra https://read.84000.co/translation/toh156.html (Toh 156): “He who realizes voidness, that person is consciously aware.” “Ultimate realization,” far from obliterating the relative world, brings it into highly specific, albeit dreamlike, focus.
བག་ཡོད་རྣམ་པར་གྲགས་པ་	Foremost in terms of miraculous abilities among the followers of the buddha Deveśvara.
བཻ་ཌཱུ་རྱའི་ཚལ་	A forest in White Body.
བཻ་ཌཱུརྱའི་སྣང་བ་ཅན་	Name of the world system of the thus-gone one Pristine Light.
བཻ་བྷི་ཊིང་གི་	A town.
བཻ་དཱུ་རྱའི་འོད་	A buddha realm.
བཻ་དཱུ་རྱ་	Precious/semiprecious stone; sometimes translated as lapis lazuli.
བཻ་དཱུ་རྱ་	Although this has often been translated as lapis lazuli, the descriptions and references in the literature, both Sanskrit and Tibetan, match beryl. The Pāli form is veḷuriya. The Prākrit form verulia is the source for the English beryl . This normally refers to the blue or aquamarine beryl, but there are also white, yellow, and green beryls, though green beryl is called “emerald.”
བཻ་དཱུརྱའི་སྙིང་པོ་	Name of the thus-gone one of the world system Cave of Sandalwood Fragrance. Vaiḍūrya is a type of semi-precious stone, often identified as beryl.
བཻ་དཱུརྱ་	A precious stone frequently used in Buddhist analogies.
བཻ་དུའ་རྱའི་འོད་	A buddha realm.
བཻ་རོ་ཙ་ན་	One of the five primary tathāgatas, he presides over the tathāgata family.
བཻ་ཤམ་པཱ་ཡཱ་ན་	One of the sages (ṛṣi).
བཀཀུ་ལ་	From a wealthy brahmin family, Bakkula is said to have become a monk at the age of eighty and lived to be a hundred and sixty! He is also said to have had two families, because as a baby he was swallowed by a large fish and the family who discovered him alive in the fish’s stomach also claimed him as their child. The Buddha’s foremost pupil in terms of health and longevity. It is also said he could remember many previous lifetimes and was a pupil of the previous buddhas Padmottara, Vipaśyin, and Kāśyapa.
བལ་གོས་	An acceptable form of cloth for a monk, as identified in the Four Supports section of the ordination ritual.
བལ་པོ་	Although the name “Nepal” derives from it, the ancient Nepāla would probably not extend beyond the Kathmandu Valley.
བན་དེ་དཔལ་བརྩེགས་	A Tibetan translator (fl. late eighth–early ninth centuries).
བན་དེ་དཔལ་བརྩེགས་	The senior editor-translator who edited and finalized this text.
བན་དེ་དཔལ་བརྩེགས་	Chief editor who finalized the Tibetan translation of The Noble Dharma Discourse Describing the Benefits of Producing Representations of the Thus-Gone One, among other works.
བན་དེ་དཔལ་བརྩེགས་	Paltsek, from the village of Kawa north of Lhasa, was one of Tibet’s preeminent translators. He was one of the first seven Tibetans to be ordained by Śāntarakṣita and is counted as one of Guru Rinpoche’s twenty-five close disciples. In a famous verse by Ngok Lotsawa Loden Sherab ({rngog lo tsA ba blo ldan shes rab}), Paltsek is named along with Chokro Lui Gyaltsen ({cog ro klu'i rgyal mtshan}) and Zhang Nanam Yeshé ({zhang sna nam ye shes sde}) as part of a group of translators whose skills were surpassed only by Vairotsana. He translated works from a wide variety of genres, including sūtra, śāstra, vinaya, and tantra, and was an author himself. Paltsek was also one of the most important editors of the early period, one of nine translators installed by Trisong Detsen (khri srong lde btsan; r. 755–797/800) to supervise the translation of the Tripiṭaka and help catalog translated works for the first two of three imperial catalogs (the {ldan kar ma} and {bsam yas mchims phu ma} catalogs).
བན་དེ་ཡེ་ཤེས་སྡེ་	The monk Yeshé Dé, the translator of the Sukhāvatī vyūha sūtra.
བན་དེ་ཡེ་ཤེས་སྡེ་	A prolific Tibetan translator active during the late eighth and early ninth centuries.
བན་དེ་ཡེ་ཤེས་སྡེ་	The name of a Tibetan translator, active in Tibet in the ninth century, who translated many texts in the Kangyur.
བན་དེ་ཡེ་ཤེས་སྡེ་	One of the three foremost translators of the Tibetan imperial era. A disciple of Padmasambhava and one of the main translators of the Kangyur.
བན་དེ་ཡེ་ཤེས་སྡེ་	A prolific Tibetan translator of the eighth and ninth centuries who assisted with the translation of hundreds of texts that appear in the Kangyur and Tengyur.
བན་དེ་ཡེ་ཤེས་སྡེ་	Yeshé Dé (late eighth to early ninth century) was the most prolific translator of sūtras into Tibetan. Altogether he is credited with the translation of more than one hundred sixty sūtra translations and more than one hundred additional translations, mostly on tantric topics. In spite of Yeshé Dé’s great importance for the propagation of Buddhism in Tibet during the imperial era, only a few biographical details about this figure are known. Later sources describe him as a student of the Indian teacher Padmasambhava, and he is also credited with teaching both sūtra and tantra widely to students of his own. He was also known as Nanam Yeshé Dé, from the Nanam ({sna nam}) clan.
བན་དེ་ཡེ་ཤེས་སྙིང་པོ་	Translator of this text.
བན་དེ་ཡེ་ཤེས་སྙིང་པོ་	Translator who produced the Tibetan translation of The Noble Dharma Discourse Describing the Benefits of Producing Representations of the Thus-Gone One, among other works.
བན་དེ་	The general term from ancient India for any member of the ordained Buddhist saṅgha.
བན་དེ་	A Middle Indic word derived from the Sanskrit bhadanta. Meaning “venerable one” it is a term of respectful title for Buddhist monks.
བན་དེ་	A term of respect for Buddhist monks: bandé in Tibet and Nepal, bhante in the Pali tradition. A middle-Indic word, it is said to be derived from vande, the BHS vocative form of the Sanskrit vanda, meaning praiseworthy or venerable, although bhante is said to be a contraction of the vocative bhadante, derived from a respectful salutation.
བང་ག་	An ancient country in the Ganges delta.
བང་མཛོད་སྟུག་པོ་ཅན་གྱི་ཚལ་	A forest near Sthūlakoṣṭhaka, a village in the country of Kuru.
བང་མཛོད་སྟུག་པོ་ཅན་	A village in the country of Kuru.
བང་རིམ་འཛིན་	A bodhisattva.
བར་བ་རཱ་	A land to the north of Jambudvīpa.
བར་བལི་ཕྲེང་བར་བསམ་	One of the mantra deities, possibly the same as Jvaloṣṇīṣa.
བར་ཆད་བྱེད་པ་	In the time of the Kāraṇḍavyūha this was a group of four demons that created obstacles. This later became the name for the deity Ganesh (as a remover of obstacles), but that is not what is intended here.
བར་ཆད་ཀྱི་ཆོས་	Personal qualities or circumstances that impede the start of or success in a person’s monastic career.
བར་ཆད་མེད་པ་	“Uninterrupted” or “immediate,” applied to a particular meditative absorption at the junction between the paths of preparation and seeing in Vaibhāṣika and Yogācāra systems.
བར་ཆད་	A class of spirits that cause obstacles (the word vighna means “obstacle”).
བར་གྱི་བསྐལ་པ་	A cosmic period of time. Following the Abhidharma system, eighty intermediate eons together compose one great eon (mahākalpa).
བར་གྱི་བསྐལ་པ་	When used to describe a measure of time, the term refers to period defined in relation to the “great eon”: eighty intermediate eons make one great eon.
བར་མ་དོའི་ཕུང་པོ་	A being in the interval between death in one life and birth in the next.
བར་མ་དོ་	The transitional, discarnate state of a sentient being between death and rebirth, classically said to last up to forty-nine days. Its existence was and is not accepted by all Buddhist schools (not, e.g., by the Theravādins).
བར་མ་	One of the rāśis.
བར་མེད་	A lake in Godānīya.
བར་ཤ་ཀ་	Gardenia gummifera. A white fragrant flower that blooms in the rainy season.
བར་སྣང་མ་	One of the eight great yakṣīs.
བར་ཏ་ནི་	A country in the east, where the teachings on the perfection of wisdom will spread.
བར་ཨུ་ཎ་	Apart from the god of water, Varuṇa can be the name of several other figures, including a nāga king. Here he is the guardian of the western direction.
བར་ཡངས་པ་	A mountain range in the Heaven Free from Strife.
བར་	A unit of weight corresponding roughly to 50 grams.
བཽ་ཧ་རི་	A goddess invoked in a mantra.
བཅའ་བ་བུ་རམ་	A type of solid sugar.
བཅའ་སྒ་	Zingiber officinale.
བཅམས་	The Tibetan is obscure. Lobsang Jamspal suggests the term means “to be nice to; to adulate; to flatter, before showing your real aim.”
བཅིངས་པ་མེད་པ་	The 450th buddha in the first list, 449th in the second list, and 443rd in the third list.
བཅིངས་པ་ཐམས་ཅད་རྣམ་པར་འགྲོལ་བ་	A buddha.
བཅོམ་བརླག་	A town.
བཅོམ་བརླག་	Name of several cities in India; traditionally, the birthplace of Kṛṣṇa.
བཅོམ་བརླག་	City located in modern-day Uttar Pradesh, India, historically renowned for its redstone Buddha images.
བཅོམ་བརླག་	A city in the North Indian state of Uttar Pradesh. It is located approximately fifty kilometers north of Agra.
བཅོམ་ལྡན་འདས་མ་	Also rendered as “Blessed Lady.”
བཅོམ་ལྡན་འདས་མ་	The female form of the epithet commonly applied to buddhas and other awakened beings. The Sanskrit word bhaga means, among other factors, “good fortune,” “happiness,” “prosperity,” and “excellence.” The suffix -vat indicates possession. A common English translation is thus “blessed one” or “fortunate one.” The three syllables of the Tibetan translation mean that the being has “overcome” or “conquered” (Tib. {bcom}), is “endowed [with qualities]” (Tib. {ldan}), and has “gone beyond [saṃsāra]” (Tib. {'das}).
བཅོམ་ལྡན་འདས་	While the Sanskrit term simply means “fortunate,” “illustrious,” or “revered,” Tibetan hermeneutics defines the term as denoting a teacher or buddha who primordially subdues ({bcom}) the four demonic forces, possesses ({ldan}) the six attributes of greatness ({che ba'i yon tan drug}, viz: lordship, noble form, glory, fame, gnosis, and perseverance), and transcends ({'das}) all sorrow, without abiding in the extremes of existence and quiescence. Used in this text to refer to the Buddha Śākyamuni.\nAlso translated here as “Lord” (See also https://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-121 ).
བཅོམ་ལྡན་འདས་	In the Buddhist context, it is an epithet of the buddhas. In Sanskrit, it literaly means “One who has bhaga,” which has many diverse meanings, including good fortune, happiness, and majesty; and more specifically to this context, it is used to define someone who as possessor of six specific qualities as well as beeing a conqueror of māras. The usual definition of the Tibetan term is {bcom} (“subdue”), referring to the subduing of the four māras; {ldan} (“to possess”), referring to the possession of the great qualities of buddhahood; and {'das} (“beyond,” “transcended”), meaning that such a person has gone beyond saṃsāra and nirvāṇa.\nIn this text, it refers to the Buddha Śākyamuni.
བཅོམ་ལྡན་འདས་	In Buddhist literature, an epithet applied to buddhas, most often to Śākyamuni. The Sanskrit term generally means “possessing fortune,” but in specifically Buddhist contexts it implies that a buddha is in possession of six auspicious qualities (bhaga) associated with complete awakening. The Tibetan term‍—where {bcom} is said to refer to “subduing” the four māras, {ldan} to “possessing” the great qualities of buddhahood, and {'das} to “going beyond” saṃsāra and nirvāṇa‍—possibly reflects the commentarial tradition where the Sanskrit bhagavat is interpreted, additionally, as “one who destroys the four māras.” This is achieved either by reading bhagavat as bhagnavat (“one who broke”), or by tracing the word bhaga to the root √bhañj (“to break”).
བཅོམ་ལྡན་འདས་	In Buddhist literature, an epithet applied to buddhas, most often to Śākyamuni. The Sanskrit term generically means “possessing fortune,” but in specifically Buddhist contexts this term implies that a buddha is in possession of six auspicious qualities (bhaga) associated with complete awakening. The Tibetan term‍—where {bcom} is said to refer to “subduing” the four māras, {ldan} to “possessing” the great qualities of buddhahood, and ’das to “going beyond” saṃsāra and nirvāṇa‍—possibly reflects the commentarial tradition where the Sanskrit bhagavat is interpreted, in addition, as “one who destroys the four māras.” This is achieved either by reading bhagavat as bhagnavat (“one who broke”), or by tracing the word bhaga to the root √bhañj (“to break”).
བཅོམ་ལྡན་འདས་	In Buddhist literature, an epithet applied to buddhas, most often to Śākyamuni. The Sanskrit term generically means “possessing fortune,” but in specifically Buddhist contexts it implies that a buddha is in possession of the virtuous qualities and wisdom associated with complete awakening. The Tibetan translation has three syllables defined to mean “one who has conquered (the māras), possesses (the qualities of awakening), and has transcended (saṃsāra, or both saṃsāra and nirvāṇa).\nIn this sūtra it is notable that Dīrghanakha does not initially show respect to the Buddha and refers to him using a more neutral register, “renunciant Gautama,” until his conversion at the end of the sūtra ( https://read.84000.co/translation/UT22084-074-003.html#UT22084-074-003-74 ), when he then uses the epithet “Blessed One.”
བཅོམ་ལྡན་འདས་	“Lord” is chosen to translate the title Bhagavān because it is the term of greatest respect current in our “sacred” language, as established for the Deity in the Elizabethan version of the Bible. Indeed, the Skt. Bhagavān was given as a title to the Buddha, although it also served the non-Buddhist Indians of the day and, subsequently, it served as an honorific title of their particular deities. As the Buddha is clearly described in the sūtras as the “Supreme Teacher of Gods and Men,” there seems little danger that he may be confused with any particular deity through the use of this term [as indeed in Buddhist sūtras various deities, creators, protectors, etc., are shown in their respective roles]. Thus I feel it would compromise the weight and function of the original Bhagavān to use any less weighty term than “Lord” for the Buddha.
བཅོམ་ལྡན་རིགས་པའི་རལ་གྲི་	A great scholar of Narthang monastery in central Tibet. He lived from 1227 to 1305 and was one of the first compilers of the the Kangyur.
བཅོམ་ལྡན་	An unidentified Gauḍa (Bengali) king.
བཅོམ་པ་མ་	This term is used for a female devotee of Viṣṇu ( bhagavat ), but here is used as an honorific term for a courtesan. Bhaga can also mean “vulva” and is therefore also used in that way in compounds. This English is also used as a translation for gaṇika in chapter 43 (see https://read.84000.co/translation/UT22084-037-007.html#UT22084-037-007-4448 ).
བཅུ་བཞི་སྟོན་	Feasts falling on these days of the lunar month are considered an acceptable form of food for a monk, as identified in the Four Supports section of the ordination ritual.
བཅུ་དྲུག་སྡེ་པ་	One of the śrāvakas attending the delivery of the MMK. The Tibetan translation of the MMK actually records this name as {bcu drug sde pa'i dga' byed}, which appears to be an error that reads the next member of the list Nandana ({dga' byed}) as part of the name Ṣoḍaśavargika.
བཅུ་གཉིས་	The Gupta emperor Dvādaśāditya (early eighth century).
བཅུ་གསུམ་	The paradise of Indra.
བཅུ་ལས་འཕྲོས་པའི་འོད་ཟེར་	A buddha.
བཅུ་ལས་འཕྲོས་པའི་འོད་ཟེར་	A bodhisattva.
བཅུ་ལྡན་	Birthplace of the buddha Sucīrṇabuddhi.
བདག་བརྟགས་	Foremost in terms of miraculous abilities among the followers of the buddha Siṃharaśmi.
བདག་གི་བ་མེད་པ་	Edg “without self.”
བདག་གི་མ་	One of the great dūtīs attending upon Lord Vajrapāṇi; also the uṣṇīṣa goddess of the Vajra family.
བདག་མེད་མ་	“No-self”; Heruka’s consort personifying the absence of self.
བདག་མེད་པ་དང་ལྡན་པ་	Birthplace of the buddha Siṃharaśmi.
བདག་མེད་པ་ལ་བདག་ཏུ་འཛིན་པ་	Second of the four misconceptions.
བདག་མེད་པའི་སྡུག་བསྔལ་གྱི་འདུ་ཤེས་	Third of the six aspects of perception.
