Tibetan	Description
བགྲུ་	བགྲུ་ gives as the present of བགྲུད་
བགྲུང་	/p.གྲུངས་ བགྲུང་ བགྲུངས་{'grung} /ps.བགྲུངས་ /f.བགྲུང་/imp.གྲུངས་ -. བགྲུངས་ འགྲུངས./inv.. /vl. /tr. /ch.ex.ཆུའི་རྙོག་པ་སོགས་ {snyogs ma}(-) {rnyog ma} ({bgrungs}). [illegible character]gs ma na (?) (bgrungs) /m. To strain; to depurate [sic] To purify, to clean, to filter To purify (water &c.) To filter, to strain, to purify water.
བགྲུད་	/p.གྲུས་ བགྲུད་ bgru  /ps.བགྲུས་ /f.བགྲུ་ བཀྲུ་ /imp.གྲུས་ བགྲུད་ བགྲུས /vl. /tr. /ch.ex.ནས་འབྲས་སོགས་ yos dang 'gras sogs/m. To clear of husks; to shell To peel, to husk To husk, to hull 
བགྲེ་	/p.བགྲེ་ /m. (archaic) To wallow, to roll on the ground.
བགྲེ་	[2]བགྲེ་ gives as the present of བགྲེས་
བགྲེང་	བགྲེང་ gives as 'occasionally for' sgeng, and as equivalent to bgrang
བགྲེས་	/p.བགྲེ་ བགྲེས་ /ps.བགྲེས་ /f.བགྲེ་ བགྲེས་/imp.བགྲེས་ -./inv./int. /m. To grow old; to age (honorific) To become aged, to grow old./n. Root given as bgre < *b-gria /n. Compare: rga
བགྲོ་	/p.བགྲོ་ /ps.བགྲོས་ /f.བགྲོ་/imp.བགྲོས་ གྲོས་ -. /vl. /inv./tr. /int. /ch.ex.ཆོས་དང་གཞང་དོན་སོགས་ bka'ND/m. 1. To argue, discuss, confer with, consider. 2. To resolve, decide To discuss; to have a discussion; to debate To discuss, confer To discuss, consult, confer.
བགྲོང་	/p.བགྲོང་ /ps.བགྲངས་ བགྲོང་ /f.བགྲང་ /imp.བགྲོངས་ བགྲངས་ - /vl. /inv./ch.ex.གྲངས་སུ་/n.ND lists this verb twice once as bgrong, bgrong, -, -, and the second time with a textual problem in the imperative bgrong, bgrangs, bgrang, bgrongs / bgrangs. The verb is only given in ND and he gives very ambiguous data. It is possible the involuntary listing, which has no Characteristic Example, I have mis-read for bgrod, bgrod, -, -.
བགྲོད་	/p.བགྲོད་ འགྲོད་  /ps.བགྲོད་ /f.བགྲོད་/imp.བགྲོད་ -. /vl. /inv./int. /synt. [a.o] /ch.ex.ལམ་སོགས་/m. To walk; to get over; wonder To take route; to cross to go, to get through 1. To go. 2. 'dod spyad. To go, to cross, to transverse./n. In the verb appendix of an imperative is given, but it is omitted in the body of the dictionary.
མགར་	/p.མགར་ /ps.མགར་ /f.མགར་/imp.མགོར་ /vl. /tr. /m. To smith To forge utensils out of iron.
མགུ་	/p.མགུ་ /ps.མགུ་ /f.མགུ་/imp.མགུ་ -/inv./int. /ch.ex.ཡིད་སོགས་/m. 1. To rejoice, to be glad, joyful, content. 2. To exhilarate, to gladden, to make content To rejoice; to satisfy; to be glad To rejoice, to be pleased./n. Related by ablaut to dga(Simon 1971: 474).
མགྱོག་	/p.མགྱོག་ /ps.མགྱོགས་ /f.མགྱོག་/imp.-./inv./ch.ex.རྟ་སོགས་/m. To be quick [].
འགག་	/p.འགག་ /ps.འགགས་ /f.འགག་/imp.འགག་ -/inv./int. /synt. [a.o]./res.'gog, /ch.ex.ཆུ་རྒྱུན་དང་རྣམ་རྟོག་སོགས་/m. To be stopped; to be halted 1. To speak unclearly, to have difficulty speaking. 2. For something to be unable to be free from inside (e.g. a hole). 3. For a continuum to break off To be blocked, to be obstructed.
འགང་	འགང་ gives as the present of གང་
འགད་	/p.འགད་ /ps.བཀད་ /f.དགད་/imp.ཁོད་ /vl. /tr. /cs. 'gas/m. 1. To crack, split apart. 2. To make the pedals of a flower open To crack open, to blast apart.
འགབས་	འགབས་ gives as the present of གབ་
འགམ་	/p.འགམ་ /ps.འགམས་ bgam bgams. /f.འགམ་ དགམ་ བགམ/imp.འགོམས་ འགམས་ /vl. /tr. /synt. [e.a] /ch.ex.ཕྱེ་རྩམ་སོགས་/m. To cram into the mouth, especially of dry edibles To throw food into the mouth 1. To examine, determine, size up a situation 2. To put (tsam pa &c.) in to the mouth To swallow, gulp down (used of barley flour and dry powders).
འགལ་	/p.འགལ་ /ps.འགལད་ འགལ་ /f.འགལ་/imp.འགལད་ -./inv./int. /synt. [Abs. Ass.] /ch.ex.ཕན་ཚུན་/m. To contradict, to disagree, to mistake To be mistaken; to be violated, trespassed To be contradictory, to contradict, to be contrary to.
འགས་	[1]/p.འགས་ འགེས་ /ps.བཀས་ /f.དགས་ བཀས་ Z.བཀདC /imp.ཁོས་ /vl. /tr. /synt. [e.a]./cs. 'gas2[Chang 1971: vii.17], (Rona-Tas 1985: 178). gas/ch.ex.མགོ་བོ་སོགས་ དུམ་བུར་ཁ་སོགས་ དུམ་བུར་ཀ་བཀས་སོགས་/m. To split, to crack, to burst apart ('gas) To split, cleave, divide ('ges) To cleave, crack, split (wood &c.) by striking with a knife or axe To crack, to split./n. This verb and dgas are not to be distinguished.
འགས་	[2]/p.འགས་ /ps.གས་ /f.དགས་ འགས་/imp.གས་ -./inv./int. /synt. [a.o]./res. 'gad. 'gas1, (Rona-Tas 1985: 178)/ch.ex.སྣོད་དང་ཤེལ་སོགས་/m. To split, to crack, to burst apart To be cracked, to be broken To crack, to split open, to burst open./n. to be identified with gas.
འགི་	/p.འགི་/int.(Skorupski 2001)/m. (dialect) To be.
འགུགས་	/p.འགུག་ 'gugs /ps.བཀུག་ བཀུགས་TD. /f.དགུག་བཀུག་ /imp.ཁུག་ ཁུགས་ /vl. /tr. /synt. [e.a]./cs.ཁུག་/ch.ex.ལྕགས་ཀྱུ་སོགས་ rnam shes dang grogs sogs, mdun du tshe sogs/m. To summon, bring back To call, recall somebody; to cause to come; to bend something 1. To make bend. 2. To overpower. 3. To change the characteristic of something into something else 1. To bend, to cause to bend. 2. To summon, to call, to attract, to interest.
འགུད་	/p.འགུད་ /ps.གུད་ /f.གུད་/imp.གུད་/m. To go aside; to avoid./n. invites under 'gud ' v[ide] gud' and under gud ' v[ide] 'gud'.
འགུམ་	/p.འགུམ་ (archaic). /ps.གུམ་འགུམས་ /f.འགུམ་/imp.གུམས་ -./inv./int. /synt. [a.o]./res.'gums, : /m. To die (of natural death, of disease) To die /n. Compare: kum
འགུམས་	/p.འགུམས་ འགུམ་ /ps.བཀུམས་ བཀུམ་ /f.དགུམ་/imp.གུམས་ འགུམས་ ཁུམ་ ཁུམས་ /vl. /tr. /cs. 'gum/ch.ex.སྲོག་་/m. To kill; to put to death To kill 
འགུལ་	/p.འགུལ་ /ps.འགུལད་ འགུལ་ /f.འགུལ་/imp.འགུལ་འགུལད་-Iནནོལུནཏརཡ:/int. /synt. [a.o]./res.sgul, /ch.ex.ས་སོགས་/m. To move, quake, shake To become unsteady, to move To move apart from a previous location, to change a previous characteristic or location To move, to shake 
འགེགས་	འགེགས་  give as a present of འགོག་
འགེང་	/p.འགེང་  'gengs /ps.བཀང་ བཀངས་ /f.དགང་ བཀང་ /imp.ཁེངས་KYT. ཁོང་ ཁོངས་ གེངས་ འགེངས་ /vl. /tr. /synt. [e.a]./cs.gang, /cs.ཁེང་ /ch.ex.བུམ་བཆུས་ སྣོད་སོགས་(འགེང་ བཀང་ བཀང་ ཁོངས་) མདའ་(འགེངས་ བཀངས་ བཀང་ གེངས་) བུམ་པ་ལྟ་བུ་ཆུ་སོགས་ཀྱིས་(འགེངས་ བཁང་ དགང་ ཁོངས་). སྣོད་དང་གཞུ་སོགས་/m. To fill up, to satiate To fill up; to fulfill; to pull the string of a bow with an arrow for shooting 1. To fill. 2. To draw a bow string./n. Compare: སྐོང་ and ཁེང་
འགེབས་	/p.འགེབས་ འགེབ་  /ps.བཀབ་ /f.དགབ་ བགབ་/imp.ཁོབས་ ཁོབ་ /vl. /tr. /synt. [e.a]./cs.ཁེབས་ gab /res.sgab, [Coblin 1986]Denominative of:ཁེབས་ «a cover»[]/ch.ex.ན་བཟའ་སོགས་ཀྱིས་ གོས་དང་དྲེབས་སོགས་ ?, གོས་དང་ཁེབས་སོགས་/m. To cover up, to put on; to conceal To cause to spread over; to cover; to put on, to wear 1. To become obscure from darkness. 2. To hide, make secret To conceal, to cover.
འགེམ་	/p.འགེམ་ འགེམས་ /ps.འགེམས་ /f.འགེམ་ འགེམས་/imp.འགེམས་ /vl. /tr. /m. To defeat, subdue, overcome To crush.
འགེར་	འགེར་ gives as the present of དགར་
འགེལ་	/p.འགེལ་ /ps.ཀལ་ བཀལད་ བཀལ. /f.དགལ་/imp.ཁོལ་ ཁོལད་ འགེལད. /vl. /tr. /synt. [e.a]./res. sgal[Coblin 1986] /cs.འཁེལ་/ch.ex.ཁལ་དང་ཁྲལ་སོགས་/m. To load, to lay on a burden, to impose tax or rent, to commission; to put, to place on, over; to impose a fine; to give punishment To give responsibilities, to load; to impose, lay a tax, to levy a tax 1. To burden cattle with a load. 2. To trust, hope. 3. For someone of high rank to impose a certain task or aim to be accomplished upon person of lower rank 1. To impose, to burden. 2. To load a pack animal. 3. to hang. 4. To trust, to entrust.
འགེས་	འགེས་ gives as the present of དགས་ or འགས་
འགོ་	/p.འགོ་ /ps.འགོས་ གོས་ /f.འགོ་/imp.གོས་ འགོས་ -Iནནོལུནཏརཡ:/int. /res.sgo, /ch.ex.ལུས་ལྷ་དང་སྐྱོན་སོགས་/m. To stain, lose color, dirty sully To be infected; to be covered For one thing to stick to or contaminate another thing 1. To catch (an illness), to be infected. 2. To be stained, to be sullied, to have a stain or substance stick to oneself.
འགོག་	[1]/p.འགོག་ འགོགས་ འགེགས་ /ps.བཀག་ /f.དགག་ དགགས་/imp.ཁོགས་ ཁོག་ /vl. /tr. /synt. [e.a] /cs.'gag, /cs.ཁེགས་/ch.ex.གཞན་གྱི་གྲུབ་མཐའ་སོགས་ grub mtha' dang rgol ngan sogs, lam sogs dgagbya /m. To prevent; to avert unfortunate events, as danger, to suppress, drive back, expel To hinder, obstruct, keep back or in To block, obstruct; to stop, hinder; limit 1. To obstruct, to block, to interrupt. 2. To resist, to oppose./n. Compare: bgag.
འགོག་	[2]/p.དགོག་ འགོག་ དགོགས་ /ps.བཀོགས་ བཀོག་ /f.བཀོག་ དགོག་/imp.གོག་ ཁོག་ ཁོགས་ /vl. /tr. /cs.gog. ཁོག་ /ch.ex.རྩ་བ་སོགས་ rtsa ba nas/m. 1. To take away forcibly; to snatch, take away, pull out. 2. To take off a cover, lid To detach from; to pull out; to extract; to extirpate 1. For something which adheres together to separate apart. 2. To pluck, comb 1. To extract, to pull out. 2. To detach, to scrape off, to peel off.
འགོགས་	འགོགས་ gives as the present of འགོག༡་
འགོང་	/p.འགོང་ /ps.བཀོང་ འགོངས་ /f.འགོང་/imp.འགོངས་ -./inv./int. /m. To bewitch, enchant, pass over, get the better of. (the past tense bkong in compounds means 'threat') To be trespassed or violated; to be disgraced; to be afraid of 1. To obtain release from entrapment. 2. To surpass, exceed (archaic) 1. To be intimidated, to be afraid, to be oppressed. 2. To transgress. 3. To rival, to get the better of. 4. To demean, to put down. 5. To exceed, to go beyond. 6. To be released, to escape./n. Compare: བཀོང་1 and འཁོང་
འགོད་	/p.འགོད་ དགོད་ /ps.བགོད་KY, ￼འགོད་KYTZ, བཀོད /f.དགོད་ འཁོད་/imp.ཁོད་ Z (see note) འཁོད་C. 'god /vl. /tr. /synt. [e.a]./cs. འཁོད་'go/ch.ex.གནས་སུ་ tshom bu dang yi ger sogs su('god), gral dang gnas su(dgod) rgyan dang bde dang bral sogs/m. 1. To design, project, plan; to found, establish, lay out; to fix, put ('god) To build, arrange, plan (bkod) To register, make a record; to coronate, enthrone; to make peace; to put a signature or seal on 1. To insert, to establish, to put, to secure. to rectify. 2. To design, to formulate, to plan out, to build, to lay out. 3. To write, to sign, to record, to document./n. Root given as *go+d./n.Z has an erasure of one character i.e. འཁོད་ may have been the original reading. suggests that 'god functions as a causative of 'go in Lhasa dialect. (Uray 1972: 19) connects this verb with མཁོས་/ཁོས་/ཁོད་ 'institution, administration, settlement of the state' along with the verbs, sko and འཁོད་ (Takeuchi 1990: 175) suggests that the noun god 'order to execute' is derived from the intransitive perfect form of this verb.
འགོམ་	/p.གོམ་LZའགོམ་ བགོམ་ {bgoms}. /ps.བགོམས་ /f.བགོམད་LZབགོམ་/imp.འགོམ་LZ- གོམས་ བགོམས./inv.ND /vl. /tr. /synt. [e.a] /ch.ex.རྐང་པ་སོགས་ཀྱིས་ gom pa, gom pas/m. To walk, step, stride, pace (bgom) 1. To tread. 2. (Acc. Sch. = 'ges, 'gum) To pass over, = 'gro('gom) To walk; to pace To pass thither from above To walk over, to cross over, to pass over.
འགོར་	[1]/p.བགོར་ འགོར་ /ps.བགོརད་བགོར་ /f.བགོར་/imp.འགོརད་ བགོར་ /vl. /tr. /cs. 'gor2/m. To linger, loiter in the way; delay To delay; to detain To make time pass To take [time], to elapse, to delay.
འགོར་	[2]/p.འགོར་ /ps.འགོརད་ འགོར་ /f.འགོར་/imp.འགོརད་ -./inv., /int. /synt. [Abs.]./res.'gor1/ch.ex.དུས་དང་ལམ་སོགས་སུ་/m. To tarry, linger, loiter To be delayed; to be late To take time, to be delayed.
འགོལ་	འགོལ་CDgives as the present of གོལ་
འགོལད་	འགོལད་gives as the present of གོལ་
འགྱག་	/p.འགྱག་ /ps.གྱགས་ /f.གྱག་/imp.འགྱགས་/m. To be sold, ￼spend, expended (Cs.) To lose, to destroy./n. suggests comparison with skyag
འགྱང་	/p.འགྱང་ /ps.འགྱངས་ /f.འགྱང་/imp.འགྱངས་ -/inv./int. /synt. [a.o]./res. 'gyangs. sgyang []/m. To be delayed, postponed, farthest [sic] To be delayed; to be late For time to pass To delay, to postpone, to put off.
འགྱངས་	/p.འགྱངས་ བགྱང་ /ps.བགྱངས་brgyangs. /f.བགྱང་/imp.འགྱངས་བགྱོངས་ /vl. /tr./cs.'gyang/ch.ex.དུས་དང་ཡུན་སོགས་/m. To delay To cause a delay To postpone, delay./n. Compare: sgyang
འགྱས་	/p.འགྱས་ /ps.གྱས་ /f.གྱ་/imp.གྱོས་/m. To decay; to diminish.
འགྱིང་	/p.འགྱིང་ /ps.འགྱིངས་ འགྱིང་ /f.འགྱིང་/imp.འགྱིང་ འགྱིངས་ -.Iནནོལུནཏརཡ:. /vl. /int./res.sgying/ch.ex.ཉམས་ཀྱིས་/m. 1. To assume air or appearance of greatness; to sit lifting up in the manner of a lion. 2. To look haughtily; to look down upon; to slight a person To assume a posture, to pose To put on airs, to act haughtily or arrogantly.
འགྱུ་	/p.འགྱུ་ /ps.འགྱུས་ /f.འགྱུ་/imp.འགྱུ་ འགྱུས་ -Iནནོལུནཏརཡ:/int. /ch.ex.དུས་ཚེ་སོགས་ལ་/m. To move quickly to and fro (e.g. lightning, a mirage, the mind) To focus one's mind on an object; to scatter from the intended object of meditation; to form the limbs of a child in the womb 1. To quiver back and forth. 2. To be mentally distracted To move /n. Compare: rgyu
འགྱུར་	/p.འགྱུར་ འགྱུརད་ - (see note). /ps.གྱུརད་གྱུར་འགྱུར, (see note). /f.འགྱུར་/imp.འགྱུར་གྱུརད་-Iནནོལུནཏརཡ:/int. /synt. [a.o] (Goldstein 1991: 130)/res.sgyur, /m. 1. To become; to grow, increase, change. 2. (Annexed to an infinitive may denote either the perfect or future tense, the context decides in every instance how it is to be understood) To change, become For an essence, ingredient, circumstance &c. to arise as different from before 1. To change, alter. 2. To turn into, become./n. gives two verbs འགྱུར་ གྱུར་ འགྱུར་ - and འགྱུར་ འགྱུར་ འགྱུར་ -, just like does. However for the two definitions are the same. lists འགྱུར་ འགྱུར་ འགཡུར༾།་-།་ཨནད་-།་གྱུར་ འགྱུར་ - as ￼two verbs the second immediatley following the first in his verb tables. However in the body of the dictionary under 'gyur the first definition is listed without verb stems. The second definition is listed with the stems: འགྱུར་ གྱུར་ འགྱུར་ - with the definition 'to be established, or arise different than before'. (Li yung khrang 1988) which is supposed to be an excerpt of verb material form is exactly the same but lists defintion one with the stems: འགྱུར་ འགྱུར་ འགྱུར་ -. also distinguishes two verbs [].
འགྱེ་	[1]འགྱེ་ give as the present of འགྱེས་
འགྱེ་	[2]འགྱེ་ gives as the present of འགྱེད༡་
འགྱེད་	[1]/p.འགྱེ་ འགྱེད་ /ps.བཀྱེས་ བགྱེས་བཀྱེ. /f.བཀྱེ་ དགྱེ་ དགྱེད/imp.བཀྱེ་ ཀྱེས་ ཁྱེས་  'gyed. ཁྱེ་ /vl. /tr. (def. 1)/synt. [e.a]./cs.'gyes.འཁྱེད་ (Coblin 1986), /ch.ex.འོད་ཟེར་སོགས་ sprul pa 'od sbyin /m. 1. To divide, to scatter, disperse. 2. To institute, set going. 3. To give an entertainment, banquet To focus rays; to send; to distribute; to fight a war 1. To deploy (troops in battle). 2. To apply paint, varnish.3. To mutually fight. 4. To give, having divided into pieces. 5. To give off, radiant light 1. To send, to dispatch. 2. To emit. 3. To display, to send forth. 4. To dispute. 5. To give.
འགྱེད་	[2]/p.འགྱེད་ དགྱེད་ /ps.བཀྱེད་ /f.བགྱེད་ དགྱེད་/imp.ཁྱེད་ /vl. /tr. /m. To stretch, prolong.
འགྱེད་	[3]/p.འགྱེད་ /ps.འགྱེད་ /f.འགྱེད་/imp.འགྱེད་/ch.ex.འགྱེད་སྟོན་སོགས་/n. perhaps to be connected with 'gyed1
འགྱེར་	/p.འགྱེརད་ འགྱེར་ /ps.གྱེར་ /f.འགྱེར་/imp.གྱེརད་/synt. [e.a] /m. To drop, or let fall; to throw down; to quit, abandon, throw away (Sch.) To give up; to abandon (archaic) 1. To get rid of, hide away. 2. To separate, break a connection (archaic) To renounce, to abandon.
འགྱེལ་	/p.འགྱེལ་ /ps.འགྱེལད་ འགྱེལ་གྱེལ /f.འགྱེལ་/imp.འགྱེལ་ - གྱེལ་/inv./int. /synt. [a.o]./res.sgyel, /ch.ex.ས་ལ་/m. To fall; to tumble down (for a person or upright thing) To lie horizontally To fall, to collapse./n. Root given as gyel < *gyal < gal 
འགྱེས་	/p.འགྱེ་འགྱེས་ /ps.གྱེས་ འགྱེས་ /f.འགྱེས་འགྱེ་/imp.གྱེས་ གྱེད་ - /vl. /inv./int. /synt. [a.o]./res.'gyed, [Coblin 1986]/ch.ex.སོ་སོར་/m. 1. To be dispersed; to be divided. 2. To issue, proceed, spread, branch from To become separate; to disperse; to be divorced 1. To separate, place apart To be separated, to separate, to split./n. Root given as gye < *gya < *ga cf. 'gas.
འགྱོག་	/p.འགྱོག་ /ps.འགྱགས་ བཀྱགས་ /f.འགྱོག་ བཀྱག་/imp.ཆོགས་ ཁྱོགས་ ཁྱོག་ /vl. /tr. /synt. [e.a], /ch.ex.མགྲོན་འགྲུལ་རྣམས་ /m. To ascend To lift, hold a thingup To raise, to lift, to support.
འགྱོད་	/p.འགྱོད་ /ps.འགྱོད་ /f.འགྱོད་/imp.འགྱོད་ - /inv./int. /m. To repent; to grieve for. To lament, relent (not only for bad, but also for good actions, when the latter are attended with disadvantages) To repent; to feel sorry; to befall of regret To mentally suffer latter on account of an action previously done To regret, to fell remorse, to feel sorry.
འགྲགས་	འགྲགས་ gives as a present of གྲགས༡་ and གྲགས༢་
འགྲང་	/p.འགྲང་ /ps.འགྲངས་ /f.འགྲང་/imp.འགྲང་ འགྲངས་ -Iནནོལུནཏརཡ:/int. /ch.ex.ཟས་སོགས་ཀྱིས་/m. To satisfy with food; to satiate To be full (after meals) To be sated, satiated, to be full.
འགྲང་	[2]འགྲང་ gives as the present of བགྲང་
འགྲད་	འགྲད་ give as the present of བགྲད་
འགྲན་	/p.འགྲན་ /ps.འགྲནད་ འགྲན་ /f.འགྲན་/imp.འགྲན་ འགྲནད་ -.Iནནོལུནཏརཡ:/tr. /res.sgrun/ch.ex.ཕན་ཚུན་རྩལ་སོགས་/m. To vie with, contend with; to strive (for victory) To compete, to challenge To contest for victory To rival, to compete, to contest, to hold a test.
འགྲམས་	/p.འགྲམས་ /ps.གྲམ་ འགྲམས་ /f.འགྲམ་ འགྲམ་/imp.གྲམས་ -./inv./int. /m. To spread over To be spread out, dispersed, scattered To pervade, to diffuse, to be agitated./n. Compare: gram and 'grem
འགྲས་	/p.འགྲས་ /ps.འགྲས་ /f.འགྲས་/imp.འགྲས་ -/inv./int. /ch.ex.དགྲ་སོགས་དང་/m. To hate, to bear ill-will, to have spite against To have spite; to hate For the thought of fighting against an enemy to arise To come to hate, to dislike./n. related to noun dgra 'enemy'.
འགྲིག་	/p.འགྲིག་ /ps.འགྲིགས་ /f.འགྲིག་/imp.འགྲིགས་ འགྲིགས་ -Iནནོལུནཏརཡ:/int. /synt. [a.o]./cs. འཁྲིག་/res.sgrig, /ch.ex.རྟེན་འབྲེལ་སོགས་/m. To suit, agree, correspond; to be right To be suitable; to be fitting; to be ok 1. To agree, accord, be in harmony. 2. To be appropriate, suitable 1. To suit, to be suitable. 2. To make harmonious, to reconcile.
འགྲིབ་	/p.འགྲིབ་ /ps.གྲིབ་(Zeisler 2004: 462).'grib. 'gribs. /f.འགྲིབ་/imp.འགྲིབས་ -/inv./int. /synt. [a.o]./res.sgrib/m. 1. To grow dim; to get dark (Cs.) 2. To grow less, to decrease, to be diminished, to decay To be diminished; to decay; to become smaller; to be reduced To become smaller, to become fewer 1. To decrease, to decline. 2. To grow dim, to be covered to set, to disappear./n. suggests comparison with rab rib 'mist, dimness'.
འགྲིམ་	/p.འགྲིམ་ /ps.འགྲིམས་ /f.འགྲིམ་/imp.གྲིམས་ འགྲིམས་ /vl. /int. /synt. [a.o] /ch.ex.ཟ་ཏུགས་དང་ཆོས་གྲྭ་སོགས་/m. To march about, perambulate; to rove or stroll about; walk round To wander from place to place; to travel widely, to advance through monastic life, &c. 1. To go to many places. 2. To link from one thing to another To travel, to journey, to wander, to undergo, to attend.
འགྲིལ་	/p.འགྲིལ་ འགྲིལད་ /ps.གྲིལ་ འགྲིལ་ /f.འགྲིལ་/imp.གྲིལད་ -/inv./int. /synt. [a.o]./res.sgril, (Rona-Tas 1978: 359), /m. 1. To be twisted or wrapped round, to be collected, concentrated; to flock or crowd together. 2. To be turned, rounded, made circular or cylindrical. 3. To fall, drop down (for འཁྲིལ་ ￼Sch.) To roll up; to snowball 1. To twist, turn. 2. (according to some dag yig 'spelling primers') To collect together, to wrap in 1. To be rolled up, to recoil, to be condensed, to be assembled. 2. To roll down./n. Root given as ril (Rona-Tas 1978: 359), /n. (Rona-Tas 1978: 359) calls 'dril 'to be turned, rolled round, twisted into a thing.' the 'passive' of this verb, in addition he suggests a connection to the adjective hril po 'round, globular, close, dense' and the noun ril ba 'scroll'. similarly suggests comparision with ril po 'round'.
འགྲུ་	འགྲུ་ gives as the present of འགྲུས་
འགྲུང་	འགྲུང་ gives as the present of བགྲུང་
འགྲུབ་	/p.འགྲུབ་ འགྲུབས་ /ps.གྲུབ་ /f.འགྲུབ་/imp.འགྲུབ་ གྲུབས་ -Iནནོལུནཏརཡ:/int. /synt. [a.o]./res.sgrub.Denominative of:གྲབས་ «preparation» (Simon 1971: 474)/ch.ex.བསམ་དོན་སོགས་/m. (Situ 69) To be accomplished; to be made ready, to be finished To be accomplished 1. To become, arise. 2. To exist, stay. 3. To know, understand To become accomplished, to be made, to be fulfilled, to be completed.
འགྲུམ་	/p.འགྲུམ་འགྲུམས་གྲུམས་ {grum}. drum (). /ps.གྲུམས་ /f.འགྲུམ་གྲུམས་ གྲུམ. /imp.གྲུམས་-./inv./int. /m. To pinch, nip off (the point of a thing); to cut off; to prime, lop, clip the wings (Cs.) To be broken or cracked To break into many pieces 1. To be broken, to be damaged. 2. To be exhausted, to be worn out.
འགྲུལ་	/p.འགྲུལ་ /ps.འགྲུལད་ འགྲུལ་ /f.འགྲུལ་/imp.འགྲུལད་ -./inv./int./cs. འཁྲུལ་/m. 1. To walk; to pass; to ravel. 2. Fig. To walk, to live, act, or behave. 3. To pass as good; to be current (of coins) To journey; to go To travel, to tour, to take a trip.
འགྲུས་	/p.འགྲུས་ འགྲུ་ /ps.འགྲུས་གྲུས་ /f.འགྲུས་/imp.འགྲུས་ /vl. /tr. /ch.ex.ཆོས་ཕྱོགས་ལ་/m. To bestow pains upon a thing To persevere, to be diligent.
འགྲེ་	/p.འགྲེ་ /ps.འགྲེས་ /f.འགྲེ་/imp.འགྲེས་ -. /vl. ND /inv./int. /synt. [a.o]./res.sgre/ch.ex.སྔ་ཕྱི་ rigs/m. To roll one's self To apply a same ￼reasoning; to adjust one's sleeping position 1. To turn over the body while lying down. 2. To use previous reasoning to consider an new topic 1. To be collated, to be juxtaposed, to be mixed. 2. To toss and turn. 3. (archaic) To move.
འགྲེང་	/p.འགྲེང་ /ps.འགྲེངས་ འགྲེང་ /f.འགྲེང་/imp.གྲེངས་ -. འགྲེངས་Iནནོལུནཏརཡ:. /vl. /int. /synt. [a.o]./res.sgreng,, [Coblin 1986], /ch.ex.གྱེན་དངལུས་སོགས་/m. To stand To rise up; to get up To stand up, to rise up.
འགྲེད་	འགྲེད་ , (). give as a present of འདྲེད་
འགྲེམ་	[1]/p.འགྲེམ་ 'grems,  /ps.བཀྲམ་ /f.དགྲམ་/imp.ཁྲོམས་ཁྲེམས་ /vl. /tr. /synt. [e.a]./cs.gram/ch.ex.རྒྱན་དར་སོགས་ chu dang gcal du/m. To spread (as of grain, for drying) To scatter; to spread out To spread, to lay out many things To be spread out, to lay out, to distribute.
འགྲེམ་	[2]/p.འགྲེམ་ /ps.འགྲེམས་ /f.འགྲེམ་/imp.གྲེམས་/ch.ex.ཆབ་སོགས་
འགྲེལ་	[1]/p.འགྲེལ་ /ps.བཀྲལད་ བཀྲལ་ /f.དགྲོལ་ དགྲལ་ བཀྲལ/imp.འགྲེལད་ ཁྲོལད་ ཁྲོལ་ /vl. /tr. /synt. [e.a] /ch.ex.གཞུང་ཚིག་སོགས་ དགོངས་ལ་ཁྱལ་དང་འགྲེལ་ དགོངས་ལ་ཁྱལ་དང་འགྲེལ་པ་/m. 1. To beg, supplicate. 2. To put in, arrange. 3. To explain, comment upon To classify; to elucidate meaning; to explain in detail To comment on, to elucidate the difficult points of a text.
འགྲེལ་	[2]/p.འགྲེལ་ /ps.འགྲེལ་
འགྲོ་	/p.འགྲོ་ /ps.སོང་ འགྲོ་ཕྱིནད་ཕྱིན་ /f.འགྲོ་/imp.སོང་ རྒྱུ་ (Denwood 1999) /vl., (Goldstein 1991: 93)/int. (Goldstein 1991: 93)/synt. [a.o] /m. To go, to live To go, to move 1. To go, to proceed, to set off, to move. 2. To be acceptable [to the senses]. 3. To hold, to contain. 4. To become. 5. To be used for./n. Root given as 'gro < ' + TB *ga + *ro, *ro < TB *ra 'to come' (Delancey ￼1908: 233)/n.song < s + *ong, *ong < TB *wang (Delancey 1980: 233)./n. The past tense song is more typical of eastern dialects whereas phyin more of central dialects. Denwood's imperative is for Lhasa dialect. For more etymological thoughts on motion verbs compare 'ong.
འགྲོགས་	/p.འགྲོགས་ འགྲོག་ /ps.འགྲོགས་ /f.འགྲོགས་ འགྲོག་/imp.-འགྲོགས་Iནནོལུནཏརཡ: /vl. /int. /tr. /synt. [Abs. Ass.] /m. To associate with; to keep company, to be in the company of; to accompnay To be accompanied by; to associate with; to stay together To act with mutual connection, to co-habitate, to co-operate To accompany, to associate with./n. Perhaps to be compared with rogs 'help'
འགྲོང་	འགྲོང་ give as the present of དགྲོང་
འགྲོངས་	/p.འགྲོང་འགྲོངས་ /ps.འགྲོང་ གྲོང་ གྲོངས་ /f.འགྲོང་ འགྲོངས་/imp.- གྲོངས་Iནནོལུནཏརཡ:/int./res.དགྲོང་Denominative of:རོ་ 'corpse'(Hahn 1999: 124)/m. To die (honorific) To die./n. Root given as 'g- ro - ng (Hahn 1999: 124)
